"GENERATION","MEAN","STDDEV","MAX","MIN"
0,3.38,1.11718,5,2
1,3.25,1.25831,6,1
2,3.08,1.45422,7,1
3,3.33,1.73528,7,1
4,3.41,1.78713,11,1
5,3.33,1.73528,8,1
6,3.09,1.42201,7,1
7,3.17,1.47062,7,1
8,3.28,1.62729,8,1
9,3.06,1.71046,8,1
10,3.36,1.70868,9,1
11,3.27,1.44848,7,1
