"GENERATION","MEAN","STDDEV","MAX","MIN"
0,0.375322,0.178947,0.766264,0.000217373
1,0.453702,0.140184,0.766264,0.0133297
2,0.527722,0.0928728,0.766264,0.214562
3,0.524933,0.111956,0.784988,0.121295
4,0.555786,0.0893239,0.761417,0.157853
5,0.540056,0.11176,0.858094,0.0722664
6,0.561028,0.0864611,0.740052,0.182727
7,0.580501,0.1082,0.86021,0.0244642
8,0.582773,0.105123,0.86021,0.0920212
9,0.59526,0.0873524,0.86021,0.377204
10,0.591194,0.101406,0.784536,0.238039
11,0.597207,0.0978881,1,0.352041
