"GENERATION","MEAN","STDDEV","MAX","MIN"
0,10.88,8.85721,31,3
1,8.88,7.21849,31,1
2,6.84,5.3536,25,1
3,6.96,5.31801,23,1
4,7.18,5.57842,35,1
5,6.54,4.79777,21,1
6,5.84,3.78386,19,1
7,5.98,3.61249,15,1
8,6.26,4.05672,19,1
9,5.88,4.72535,25,1
10,6.46,4.54699,27,1
11,6,3.52194,17,1
