"GENERATION","MEAN","STDDEV","MAX","MIN"
0,3.342,0.474855,4,3
1,3.368,0.604406,5,1
2,3.468,0.591334,5,2
3,3.638,0.565328,5,1
4,3.53,0.598177,5,1
5,3.704,0.510789,5,2
