"GENERATION","MEAN","STDDEV","MAX","MIN"
0,6.498,2.66387,15,3
1,7.436,2.55479,15,1
2,7.71,2.17148,14,2
3,8.548,2.15708,17,1
4,8.664,2.5298,15,1
5,9.146,2.09988,15,3
