"GENERATION","MEAN","STDDEV","MAX","MIN"
0,0.218876,0.297966,0.817451,0
1,0.600144,0.226382,0.850024,0
2,0.702559,0.171751,0.925196,0
3,0.755544,0.165036,0.925196,0
4,0.790657,0.139361,0.93192,0
5,0.825144,0.130171,1,0
